Company Name,Website,City,State,Country,Description,Categories,LinkedIn,Facebook,Twitter,Booth
Alloy Engineering,http://www.alloyengineering.com,BEREA,OH,United States," Alloy Engineering is a diverse fabricator specializing in high-temperature and corrosion-resistant products. We are committed to helping customers raise productivity while achieving the lowest possible operating and maintenance costs. Our stainless and nickel alloy components for heat treating include: Rotary & Continuous Retorts Washer Drums Convector Plates Diffuser Bases Fixtures and Baskets Furnace Bases Furnace Muffles High-Temperature Fans and High-Temperature Blowers Radiant Tubes Recuperator tube bundles Inner Covers ASME Vessels / Heat Exchangers Trays Pickle Hooks If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.",,https://www.linkedin.com/company/allor-manufacturing-and-plesh-industries-inc/,,,2442
Allstrap Steel & Poly Strapping Systems,http://www.allstrap.com,Columbus,OH,United States,"New battery powered steel strapping tools Allstrap has established a signature brand of quality and customer service in the strapping industry. With headquarters in Columbus, OH, Allstrap operates a regional sales force in Ohio, Detroit, Pittsburgh, the east coast, the mid south & west, and we service the entire US market; making us leaders in the strapping industry. We have a large inventory of top brands in the strapping industry, which allow our customers to decide and choose their products for longevity. This comprehensive approach enables Allstrap to provide a vast assortment of products and services to over 2,500 customers in steel service, lumber, manufacturing, and distribution industries. Allstrap is one of the largest strapping distributors in North America. Brands: Signode, Golden Bear Tool, Fromm, Columbia, Orgapack, Polychem, Titan, Strapack, Encore Packaging, Midwest Industrial Packaging If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Material Handling, Electrical Applications, Computer Applications, Project & Construction Management, Maintenance & Reliability, Cranes, Transportation & Logistics",https://www.linkedin.com/company/allor-manufacturing-and-plesh-industries-inc/,,,1923
"Altra Industrial Motion, Inc.",http://www.altramotion.com/,Braintree,MA,United States," We are a leading global designer and manufacturer of quality power transmission and motion control products utilized on a wide variety of industrial drivetrain applications. Altra clutches and brakes, couplings, gearing and PT component product lines are marketed under 23 well known manufacturing brands that have each been in existence for over 50 years. Operating independently, each of these companies is committed to the guiding principles of operational excellence, continuous improvement and customer satisfaction. Highly-engineered Altra solutions are sold in over 70 countries and utilized in a variety of major industrial markets, including food processing, material handling, packaging machinery, mining, energy, automotive, primary metals, turf and garden and many others. Brands: Nuttall Gear, Delroyd Worm Gear, Bauer Gear Motor, Ameridrives Power Transmission, Ameridrives Couplings, Twiflex Brakes, Altra Industrial Motion If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Continuous Casting, Ironmaking, Material Handling, Safety & Health, Electric Steelmaking, Oxygen Steelmaking, Specialy Alloy & Foundry, Hot Sheet Rolling, Cold Sheet Rolling, Galvanizing, Plate Rolling, Long Products, Pipe & Tube, Metallurgy - Steelmaking & Casting, Project & Construction Management, Maintenance & Reliability, Lubrication & Hydraulics, Cranes, Transportation & Logistics",https://www.linkedin.com/company/allor-manufacturing-and-plesh-industries-inc/,,,1420
AMEPA America Inc.,http://www.amepa.de,Solon,OH,United States,"AMEPA America Inc. specializes in process control technology. Our Ladle Slag Detection (ESD) system is recognized as an industry leader, with more than 375 applications. Technologies include Coal Flow Meters (CFM) for the blast furnace; Thermographic Slag Detection (TSD) system for the BOF/EAF tapping process; Residual Steel Detection (RSD) system, used to maximize caster yield by automating the tundish draining practice; highly innovative finishing technologies such as Optical Oil Film measurement for both spot (OFIS) and on-line measurement (OFM) of coil and strip; and Optical Strip Surface Roughness measurement (SRM), again located in the production line rolling process. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Continuous Casting, Electric Steelmaking, Oxygen Steelmaking, Specialy Alloy & Foundry, Hot Sheet Rolling, Cold Sheet Rolling, Galvanizing, Plate Rolling, Long Products, Pipe & Tube, Metallurgy - Steelmaking & Casting, Metallurgy - Processing, Product & Applications, Electrical Applications, Computer Applications",https://www.linkedin.com/company/allor-manufacturing-and-plesh-industries-inc/,,,2423
American Chemical Technologies,http://www.americanchemtech.com,HOWELL,MI,United States," Brands: EcoRoll If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cokemaking, Cold Sheet Rolling, Computer Applications, Continuous Casting, Cranes, DRI, Electric Steelmaking, Electrical Applications, Energy & Utilities, Galvanizing, Hot Sheet Rolling, Ironmaking, Long Products, Lubrication & Hydraulics, Maintenance & Reliability, Material Handling, Metallurgy - Processing, Product & Applications, Metallurgy - Steelmaking & Casting, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Project & Construction Management, Specialy Alloy & Foundry, Transportation & Logistics",https://www.linkedin.com/company/allor-manufacturing-and-plesh-industries-inc/,,,2241
American Roller Bearing Company,http://www.amroll.com,HICKORY,NC,United States,"American Roller Bearing - Booth 1421 - AISTech 2021  American Roller Bearing Company designs, manufactures, services, and repairs tapered roller, cylindrical roller, spherical roller, spherical plain, and ball bearings for heavy-duty steel mill applications.With sizes up to 84 inches, American’s line of high-quality bearings cover industry standard radial and thrust bearings, as well as engineered specials to meet your unique application demands. Mill applications including bearings for, Gearboxes, Work Rolls, Back-Up Rolls, Screw Down Mechanisms, Vertical Rolls, Converters, and more. Our patented Blended Bevel ® Inner Races are standard for our line of four row cylindrical roller roll neck bearings and available from stock on many popular roll neck sizes. We offer an in house Bearing Reconditioning Program.  Made in U.S.A. www.amroll.com Brands: American's Blended Bevel ® Inner Races If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cokemaking, Cold Sheet Rolling, Continuous Casting, Cranes, DRI, Electric Steelmaking, Galvanizing, Hot Sheet Rolling, Ironmaking, Long Products, Lubrication & Hydraulics, Maintenance & Reliability, Material Handling, Metallurgy - Processing, Product & Applications, Metallurgy - Steelmaking & Casting, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Rolls, Specialy Alloy & Foundry, Transportation & Logistics, Tube Mills",https://www.linkedin.com/company/allor-manufacturing-and-plesh-industries-inc/,,,1421
American Roller Company,,UNION GROVE,WI,United States,"82 years dedicated to web handling expertise and innovation.  High-Performance Coating Rollers for Superior Metal Finish Quality Whether you’re applying high or low coating weights at fast or slow line speeds in direct or reverse coating operations, American Roller Company provides high-performance roller products to help deliver superior finish quality.  American Roller’s Arcothane and Protran coating rollers stand up in the harshest operating environments.    Core fabrication in-house team of engineers, research scientists, and technical field experts, coupled with our elastomeric chemical and abrasion resistant mechanical rolls, American Roller has you covered. Brands: American Roller is proud to stand behind some of the most recognized brand names in the roller industry. Plasma Coatings, Arcomax, Arcostretcher, Pegasus, and Thermalon are just a few of the brand names that make up American Roller. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Maintenance & Reliability, Material Handling, Rolls",https://www.linkedin.com/company/american-roller-company,https://www.facebook.com/AmericanRollerC,,2702
"AmeriFab, Inc.",http://www.amerifabinc.com,INDIANAPOLIS,IN,United States,"Visit our Booth to learn about AmeriFab® Technologies.  AmeriFab Inc., based in Indianapolis, IN, is a supplier of custom designed, engineered (including FEA) and manufactured melting and refining furnaces, ancillary equipment, water-cooled equipment and systems, offgas duct systems and current-conducting electrode arms.  AmeriFab® patented and proprietary products that increase operational uptime and profitability in electric arc furnace (EAF) and basic oxygen furnace (BOF) applications include AmeriSpline® (steel and copper), AmeriBronze®, AmeriAntiSlag® and AmeriCOP® technologies.  Visit our Booth to learn more about how AmeriFab can assist in improving the operational reliability and up-time of your furnace and off-gas systems.  Brands: AmeriSpline® Technology U.S. Patent 6,330,269, AmeriBronze® Technology U.S. Patent 6,890,479, AmeriAntiSlag® Technology U.S. Patent 8,089,999, AmeriBronzeHV® Technology U.S. Patent 8,997,842,
AmeriSlagSlot™ Technology U.S. Patent Pending, AmeriPanelization® Technology U.S. Patent Pending, If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Electric Steelmaking, Maintenance & Reliability, Metallurgy - Processing, Product & Applications, Metallurgy - Steelmaking & Casting, Project & Construction Management",https://www.linkedin.com/company/american-roller-company,,,2023
AMETEK Land,http://www.ametek-land.com,Dronfield,Sheffield,United Kingdom,"Welcome to AMETEK Land!  AMETEK Land is the world’s leading manufacturer of monitors and analyzers for industrial infrared non-contact temperature measurement, combustion efficiency and environmental pollutant emissions.  Through its trusted range of leading-edge technologies, AMETEK Land is chosen the world over to deliver highly accurate measurement solutions that precisely meet process needs. With unrivalled applications knowledge, choosing AMETEK Land ensures the highest standards of process safety, process control and product quality are reached.  Designed to operate in the harsh environments found in steel production, AMETEK Land instruments are designed to the highest performance standards, optimized for making temperature measurements at every important stage of the process.  AMETEK Land provides comprehensive solutions supported by more than 70 years of experience serving the steel industry. Brands: LAND, LSP-HD, line scanners, HotSpotIR, SPOT, VIRALERT, SDS, MWIR-B-640, Auto Pour, SPOT GS, Cyclops AMETEK Land’s SPOT pyrometers / thermometers fall into three broad types: The best one to choose will depend on the product surface you want to measure, and the process environment.    A single wavelength Mono pyrometer is the simplest and cheapest solution, but for accurate temperature measurements you must have a clear view of the product and know the emissivity of the surface   The advantage of a dual wavelength Ratio pyrometer is that it can correct for dust, dirty windows, and for unknown or changing emissivity - as long as both wavelength channels are affected proportionally.   A more complex Application specific pyrometer is required for certain surfaces such as aluminium and galvanised / galvannealed steel where emissivity changes significantly with wavelength.  Emissivity is the key parameter to understand for accurate infrared temperature measurement.     The emissivity of a surface is the proportion of radiation that surface emits, compared to the maximum theoretically possible according to the laws of physics (the ‘blackbody radiation’).  Emissivity is the opposite of reflectivity, so a highly reflective smooth mirror-like surface has emissivity close to zero.  Rough, dark matt surfaces have high emissivity.  If you have two objects of the same temperature, one bright and shiny, one dark and matt, the dark one will feel hotter if you hold your hand in front of it as it radiates a higher proportion of its internal heat.  An infrared pyrometer measures the same effect that you feel.  With a Mono thermometer, you need to enter the correct emissivity value for the surface so that the pyrometer can correct for the reduced emission level, whereas Ratio and Application pyrometers can automatically fit and even calculate the emissivity.     Dirt and dust that obscure the view of a pyrometer have the same effect on the measurement as reduced emissivity – both reduce the amount of radiation collected.  If the level of obscuration remains constant, it would be possible to enter a correction factor as for emissivity and continue to use a Mono thermometer.  However, in many cases clouds of dust come and go, viewing windows become gradually dirtier between cleaning cycles.  A Ratio pyrometer is the device to choose in this case, which can automatically adjust for the changing obscuration level.   Ratio and Application pyrometers measure the infrared radiation received at two or more wavelengths – so they collect more data than a single wavelength Mono pyrometer.  If the surface emissivity or transmission level of the optical path is changing, there are effectively two unknowns to calculate: the proportion of radiation arriving at the instrument, and the temperature.  Given two measurement wavebands, it is possible to eliminate the reduced signal level from the equations and measure temperature accurately despite changing emissivity or obscuration.  In the SPOT range of Ratio pyrometers, the signal level is also provided as an output, and can be configured with an alarm as a ‘dirty window alert’.   An Application pyrometer is a more complex variant of the Ratio pyrometer, for materials whose emissivity changes with wavelength in a non-linear way.  In this case there are multiple unknowns: the temperature, the emissivity at each wavelength, and the complex relationship between the emissivity change at those different wavelengths.  For each temperature measured by an Application pyrometer, the instrument is calling on a huge ‘3D Dataset’ of historically measured values of temperature, emissivity and radiance at each waveband of the instrument.  For this reason, Application thermometers are only available for specific industrial process materials that we have thoroughly researched, such as the SPOT AL EQS for aluminium extrusion, quench and strip, and the SPOT GS for galvanised and galvannealed steel strip. AMETEK Land has enhanced its flare stack monitoring thermal imaging solution with the inclusion of its innovative, advanced image processing IMAGEPro software to deliver accurate and reliable monitoring of the flame and the pilot light at the flare stack. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Continuous Casting, DRI, Electric Steelmaking, Galvanizing, Hot Sheet Rolling, Ironmaking, Ladle & Secondary Refining, Long Products, Maintenance & Reliability, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Tinplate Mill Products, Tube Mills",https://www.linkedin.com/company/land-instruments-international/mycompany/?viewAsMember=true,,https://twitter.com/landinst,1610
AMETEK Surface Vision,http://www.ameteksurfacevision.com,Hayward,CA,United States,"Surface inspection for fast and accurate materials checking.   AMETEK Surface Vision is the world leader in automated online surface inspection solutions. Its broad product range is optimized for the consistent monitoring and inspection of surfaces and process surveillance applications.  The SmartView and SmartAdvisor product lines deliver robust, flexible solutions to continuous production processes across a number of industries, with hundreds of customers and more than 2,500 installations worldwide.  Its systems have become vital to increasing efficiency, streamlining operations, improving product quality and reducing costs and waste in steel production processes.  AMETEK Surface Vision continues to innovate, providing cutting-edge technologies and world-class technical support that delivers highly accurate defect data, high-definition video, intelligent grading, archiving and detailed reporting. Brands: SmartView
SmartAdvisor If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cold Sheet Rolling, Continuous Casting, Galvanizing, Hot Sheet Rolling, Long Products, Plate Rolling, Tinplate Mill Products",https://www.linkedin.com/company/land-instruments-international/mycompany/?viewAsMember=true,,,1610
AMI Automation,http://www.amiautomation.com/,Monterrey,Nuevo León,Mexico,"Drive Systems Solutions and EAF Optimization.  AMI Automation is an international automation and control solutions company with a focus on designing, manufacturing, and implementing innovative technology solutions to provide process improvements that help make companies more efficient. Industries we serve include Steel, Mining, Cement, Pulp & Paper, and Oil & Gas, among others. We combine more than 30 years of experience with automation and controls including artificial intelligence and specialized engineers to assist our customers with the challenges of implementing and upgrading to new technology solutions, consulting, training, and technical support. Our business units: Industrial Systems Group specializes in Drive Systems Solutions while the Meltshops Solutions Group focus is on EAF optimization. Stop by booth 1327 to learn more. AMI Group, headquartered in Monterrey, Mexico, has sold 50% of AMI Automation, an industrial automation company, to Showa Denko (SDK), 2021. Showa Denko Carbon Division (SDK) is the world’s largest supplier of ultra-high-powered EAF graphite electrodes, with over 100 years of experience and multiple production facilities strategically situated across the globe. SDK belongs to the Showa Denko Group. With around 33,800 employees worldwide,  Showa Denko Group has multiple business units, including in addition to the graphite electrode business, petrochemicals, chemicals, electronics, inorganics, and aluminum.   AMI Automation is a premier international automation and control solutions company providing innovative products and solutions for the automation of industrial processes. AMI’s Meltshop Solutions division is a recognized innovator and world leader, with over 30 years dedicated to EAF optimization, using the latest  automation and control technologies to make EAFs operate more efficiently. By applying AMI’s automation and control technologies to SDK’s wide range of business and production processes, including the graphite electrode business, this joint venture will benefit both companies and expand their global presence.  SDK has contributed to improved EAF steelmaking quality and efficiency by providing customized high-quality graphite electrodes to customers around the world. In collaboration with AMI´s Meltshop Solutions division’s EAF optimization services, it will be possible to improve graphite electrode performance and  provide more solution-based services that improve EAF steelmaking efficiency, energy conservation, and greenhouse gas reduction. In addition, by utilizing AMI’s Industrial Systems division’s capabilities into their production process, SDK expects more efficient graphite electrode production. SDK’s goal is to provide  sustainable value to customers’ business and strengthen its position as a global leader in the graphite electrode industry. AMI‘s CEO Octavio Rodriguez said: “With this new JV, our shared core values and commitment to enhance the customer experience, will allow AMI to continue to develop the capabilities of our technical team and strengthen our position as an innovator and leader in the automation and optimization of industrial applications”. The Showa Denko Group’s Vision is to make itself a “KOSEIHA Company” (a group of KOSEIHA Businesses that can maintain profitability and stability at high levels over a long period). The graphite electrode business is one of such KOSEIHA Businesses. SDK will continue taking various measures to achieve “Value in Use No. 1” for customers, to improve the customer experience, and to further increase competitiveness and profitability. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Electric Steelmaking, Hot Sheet Rolling, Long Products",https://www.linkedin.com/company/amiautomation,https://www.facebook.com/amiautomationmx,https://twitter.com/amiautomationmx,1327
